
===== BENCHMARK STARTED =====


=== SCENARIO START: SCENARIO_1 ===


>>> Running Model: phi4:14b on Scenario: SCENARIO_1

[START] Scenario=SCENARIO_1 | Model=phi4:14b | Trials=100
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 84/100
[DONE] Model=phi4:14b | Trial 84 | Latency=0.671s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 85/100
[DONE] Model=phi4:14b | Trial 85 | Latency=0.665s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 86/100
[DONE] Model=phi4:14b | Trial 86 | Latency=0.656s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 87/100
[DONE] Model=phi4:14b | Trial 87 | Latency=0.671s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 88/100
[DONE] Model=phi4:14b | Trial 88 | Latency=0.663s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 89/100
[DONE] Model=phi4:14b | Trial 89 | Latency=0.704s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 90/100
[DONE] Model=phi4:14b | Trial 90 | Latency=0.685s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 91/100
[DONE] Model=phi4:14b | Trial 91 | Latency=0.678s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 92/100
[DONE] Model=phi4:14b | Trial 92 | Latency=0.677s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 93/100
[DONE] Model=phi4:14b | Trial 93 | Latency=0.679s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 94/100
[DONE] Model=phi4:14b | Trial 94 | Latency=0.664s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 95/100
[DONE] Model=phi4:14b | Trial 95 | Latency=0.656s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 96/100
[DONE] Model=phi4:14b | Trial 96 | Latency=0.666s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 97/100
[DONE] Model=phi4:14b | Trial 97 | Latency=0.663s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 98/100
[DONE] Model=phi4:14b | Trial 98 | Latency=0.680s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 99/100
[DONE] Model=phi4:14b | Trial 99 | Latency=0.684s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 100/100
[DONE] Model=phi4:14b | Trial 100 | Latency=0.691s
[END] Scenario=SCENARIO_2 | Model=phi4:14b
